mlp0: class x8.3 | pos x3.08 | token_fine x2.28 | prev x1.73
mlp1: class x2.85 | pos x1.67 | token_fine x1.29 | prev x1.27
mlp2: class x1.96 | pos x1.51 | token_fine x1.48 | prev x1.23
mlp3: class x1.06 | pos x1.66 | token_fine x1.28 | prev x1.04
mlp4: class x1.52 | pos x3.45 | token_fine x1.14 | prev x0.98
mlp5: class x4.89 | pos x2.55 | token_fine x1.3 | prev x0.81
mlp15: class x5.06 | pos x2.24 | token_fine x1.91 | prev x0.99
mlp16: class x9.98 | pos x4.65 | token_fine x2.56 | prev x1.01
mlp17: class x13.31 | pos x6.29 | token_fine x3.81 | prev x1.24
wrote /workspace/tensor_language/basis_aligned/bilinear_quotient/mlp_folding_scan_results.json
