curated 1000 rows from 646 documents
level 0: 108 probes
    r.2.3.1: repl 0.998 class rep 0.042 n=864 tokens [' ', ' ', 'Array', ' trials', '{', ' ']
    r.2.3.2: repl 0.997 class rep 0.034 n=864 tokens ['\n', ' *', '38', '111', '21', ' ']
    r.2.3.3: repl 1.0 class rep 0.029 n=864 tokens [' ', ' ', ' ', ' ', ' ', ' ']
r.3: repl 0.993 class newline 0.096 n=38400 tokens ['\n', '\n', '\n', '\n', '\n', '\n']
  r.3.0: repl 0.998 class ind 0.078 n=5760 tokens [',', ',', ' in', '.', ' and', '.']
    r.3.0.0: repl 0.197 class newline 0.051 n=864 tokens [')', '\n', 'model', ' =>', '(', '\n']
    r.3.0.1: repl 0.197 class ind 0.041 n=864 tokens ['{', '>', '{{', ' ', ' ', '\r']
    r.3.0.2: repl 0.973 class newline 0.038 n=864 tokens ['--------', ' ', '}', '\n', '\n', 'void']
    r.3.0.3: repl 0.973 class rep 0.012 n=864 tokens [' ', ':', ' ', ' ', ' ', ' const']
  r.3.1: repl 0.994 class newline 0.516 n=5760 tokens ['H', '3', 'E', '15', '3', 'D']
    r.3.1.0: repl 0.065 class newline 0.165 n=864 tokens [' ^', '>', '}', '2', '{', '/**']
    r.3.1.1: repl 0.053 class newline 0.298 n=864 tokens ['\n', '\n', '\n', '\n', '\n', '\n']
    r.3.1.2: repl 0.985 class ind 0.008 n=864 tokens ['{', ' ', '.', '\n', ' ', '\n']
    r.3.1.3: repl 0.964 class newline 0.002 n=904 tokens [':', ':', ');', ':', '##', '}']
  r.3.2: repl 0.971 class other 0.004 n=5760 tokens [' %', ' to', ' of', ' the', '{\\', ' type']
    r.3.2.0: repl 1.0 class newline 0.089 n=864 tokens ['//', '};', '/**', '\n', ' ', ' *']
    r.3.2.1: repl 0.95 class ind 0.03 n=864 tokens [' ', ' points', '(', ' of', ' *', '\n']
    r.3.2.2: repl 0.95 class newline 0.118 n=864 tokens [' Case', '/**', '\n', ' When', '\n', '7']
    r.3.2.3: repl 1.0 class rep 0.033 n=864 tokens [' "_', ' ', '(', ' }', '))', ' ']
  r.3.3: repl 0.929 class comma 0.006 n=5760 tokens [':', '-', 'W', '>', ' War', 'rad']
    r.3.3.0: repl 0.859 class newline 0.182 n=864 tokens ['>', '>', '>', ' ^', '>', '{']
    r.3.3.1: repl 0.932 class newline 0.138 n=864 tokens ['th', '9', 'nd', '9', 'ER', 'F']
    r.3.3.2: repl 0.794 class other 0.004 n=864 tokens ['>', '--------------', ';', '>', '//', 'y']
    r.3.3.3: repl 0.907 class newline 0.014 n=864 tokens ['-', '\n', ' War', ' ""', '238', 'est']
r.4: repl 0.987 class newline 0.009 n=38400 tokens ['2000', 'Sometimes', 'Write', ':', ' ', ' ']
  r.4.0: repl 0.992 class newline 0.173 n=5760 tokens ['-', '.', ' ', '\n', 'yes', 'v']
    r.4.0.0: repl 0.999 class newline 0.645 n=864 tokens ['{', '{', '{', '{', '{', '{']
    r.4.0.1: repl 0.991 class subword 0.02 n=864 tokens [' Stranger', ' Teen', 's', 's', 'Education', ':']
    r.4.0.2: repl 0.985 class subword 0.068 n=864 tokens ['6', '0', '}', '...', ' by', 'ampton']
