level 0: 108 probes
  r.3.3: repl 0.01 class newline 0.119 n=1798 tokens ['ating', '\n', 'UB', '2', ' House', ' House']
r.4: repl 0.382 class subword 0.011 n=11981 tokens ['ford', ' D', ' Queen', 'Royal', ',', 'us']
r.5: repl 0.589 class newline 0.009 n=11981 tokens [' House', '4', 'head', ' House', 'ham', '3']
r.6: repl 0.085 class subword 0.005 n=11981 tokens ['Le', '2', '###', '\n', ' Virgin', 'T']
r.7: repl 0.124 class bclose 0.009 n=11981 tokens ['3', ' Hotel', 'head', '\n', '\n', ' ']
r.8: repl 0.13 class sentend 0.005 n=11981 tokens ['\n', '\n', '\n', '\n', '\n', '\n']
r.9: repl 0.014 class newline 0.038 n=11981 tokens ['\n', '\n', '\n', '\n', 'o', '\n']
r.10: repl 0.026 class newline 0.005 n=11981 tokens ['IAN', 'ISH', '\n', '3', 'B', 'Train']
r.11: repl 0.166 class newline 0.008 n=11981 tokens ['3', '\n', '\n', 'ARK', '\n', '\n']
r.12: repl 0.276 class other 0.007 n=11981 tokens ['tainment', ' Palace', 'ights', 'City', 'ICE', ' Music']
r.13: repl 0.265 class bclose 0.018 n=11981 tokens ['\n', '\n', '\n', '\n', '\n', '\n']
r.14: repl 0.171 class other 0.008 n=11981 tokens ['\n', ' Hospital', '\n', ' BAR', '\n', 'ights']
r.15: repl 0.348 class bclose 0.004 n=11981 tokens ['\n', '\n', ')', ' He', ' House', ' having']
r.16: repl 0.061 class bclose 0.006 n=11981 tokens [' Sun', 'arms', ' MAP', '2', ' of', ' showed']
r.17: repl 0.017 class newline 0.009 n=11981 tokens ['\n', '\n', '\n', '\n', '\n', '\n']
r.18: repl 0.054 class newline 0.003 n=11981 tokens ['ARK', 'gate', 'EL', '\n', 'cling', '\n']
r.19: repl 0.228 class other 0.008 n=11981 tokens ['ights', ' Rye', 'a', ':', 'FE', '\n']
r.20: repl 0.022 class bclose 0.011 n=11981 tokens ['AR', '.', 'bury', ' show', ' tick', '\n']
r.21: repl 0.141 class other 0.012 n=11981 tokens [' City', ' in', '\n', '\n', 'igo', ' ']
r.22: repl 0.021 class comma 0.006 n=11981 tokens [' Tower', ' House', ' Steps', ' Rooms', ' Abbey', 'urn']
r.23: repl 0.074 class bclose 0.003 n=11981 tokens ['oya', 'ights', ' Hall', '3', 'ights', 'ian']
(d) all packs >=12 contexts: HELD

leaves 35 | new-structure 27 | child repl rate 0.60
(a) >=90 leaves: FAILED
(b) >=half new-structure: HELD
(c) child replication >=50%: HELD
wrote /workspace/tensor_language/basis_aligned/bilinear_quotient/circuit_tree3_results.json (608s)
