level 0: 108 probes
    r.2.2.1: repl 0.333 class name 0.017 n=270 tokens ['ham', ')', ';', ' Dover', ' Abbey', ' Market']
    r.2.2.2: repl 0.6 class ind 0.069 n=270 tokens ['2', '1', '4', '\n', ' Tower', '3']
    r.2.2.3: repl 0.234 class newline 0.107 n=270 tokens ['\n', '\n', 'urn', 'ate', '\n', '\n']
  r.2.3: repl 0.635 class newline 0.006 n=1798 tokens ['\n', '\n', ' ', ' hub', '\n', ' Tower']
    r.2.3.0: repl 0.596 class newline 0.2 n=270 tokens ['B', 'iverse', ' Tower', ' Dover', 'ley', 'chard']
    r.2.3.1: repl 0.4 class newline 0.03 n=270 tokens ['t', 'fell', ' t', '\n', 'is', 'AL']
    r.2.3.2: repl 0.651 class ind 0.012 n=270 tokens [' St', ' St', 'Bus', 'G', 'CA', '300']
    r.2.3.3: repl 0.892 class ind 0.016 n=270 tokens ['\n', 'c', '\n', '\n', '2', '6']
r.3: repl 0.93 class newline 0.1 n=11981 tokens ['\n', 'T', '\n', '\n', '\n', ' 8']
  r.3.0: repl 0.834 class newline 0.256 n=1798 tokens ['\n', '\n', 'wick', ' Sandwich', '4', ' Rye']
    r.3.0.0: repl 0.984 class newline 0.479 n=270 tokens [' Sandwich', 'ights', 'wick', '\n', ' ', '3']
    r.3.0.1: repl 0.923 class newline 0.031 n=270 tokens [' Rye', '\n', ' Hastings', ' Shopping', '2', ' Dover']
    r.3.0.2: repl 0.525 class newline 0.045 n=270 tokens ['\n', '\n', '\n', '\n', '\n', '\n']
    r.3.0.3: repl 0.558 class ind 0.035 n=270 tokens ['uton', '\n', 'head', '\n', '.', ' In']
  r.3.1: repl 0.777 class ind 0.106 n=1798 tokens [' ', ' –', ' and', ' the', ' making', ' Once']
    r.3.1.0: repl 0.942 class newline 0.366 n=270 tokens [' Sandwich', 'ate', ' Battle', ')', ' Dover', '\n']
    r.3.1.1: repl 0.89 class newline 0.14 n=270 tokens ['6', '\n', '\n', '2', '\n', '\n']
    r.3.1.2: repl 0.176 class newline 0.063 n=270 tokens ['}', '\n', ';', ' ', ' ', ';']
    r.3.1.3: repl 0.293 class bclose 0.006 n=270 tokens ['4', ' Entertainment', 'Street', '{', ' Rye', 'ICE']
  r.3.2: repl 0.485 class other 0.026 n=1798 tokens [' Bake', '\n', ' Rooms', ' Company', '\n', '3']
  r.3.3: repl 0.425 class newline 0.119 n=1798 tokens ['ating', '\n', 'UB', '2', ' House', ' House']
r.4: repl 0.296 class subword 0.011 n=11981 tokens ['ford', ' D', ' Queen', 'Royal', ',', 'us']
r.5: repl 0.316 class newline 0.009 n=11981 tokens [' House', '4', 'head', ' House', 'ham', '3']
r.6: repl 0.885 class subword 0.005 n=11981 tokens ['Le', '2', '###', '\n', ' Virgin', 'T']
  r.6.0: repl 0.985 class bclose 0.019 n=1798 tokens ['\n', 'B', '3', '\n', 'ights', '\n']
    r.6.0.0: repl 0.982 class bclose 0.144 n=270 tokens ['ham', 'B', 'IC', 'tainment', ' MAP', ' MAP']
    r.6.0.1: repl 0.606 class bclose 0.104 n=270 tokens [' Court', 'ster', 'bourne', 'EL', 'ment', '\n']
    r.6.0.2: repl 0.501 class newline 0.097 n=270 tokens ['4', '3', '3', '3', '\n', '1']
    r.6.0.3: repl 0.783 class bclose 0.085 n=270 tokens ['opping', '2', '6', 'ating', ' best', 'opping']
  r.6.1: repl 0.988 class newline 0.117 n=1798 tokens ['4', 'ment', '1', ' 8', '\n', '\n']
