Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
whiteners built
attn maps built
context capture done
planks 0/1 context-fit
planks 2/3 fit
unit planks built
compiler-v2.1 true_site1 1/108 A_l0_r16
compiler-v2.1 true_site1 2/108 A_l0_r32
compiler-v2.1 true_site1 3/108 A_l0_r64
compiler-v2.1 true_site1 4/108 A_l0_r8
compiler-v2.1 true_site1 5/108 A_l1_r16
compiler-v2.1 true_site1 6/108 A_l1_r32
compiler-v2.1 true_site1 7/108 A_l1_r64
compiler-v2.1 true_site1 8/108 A_l1_r8
compiler-v2.1 true_site1 9/108 A_l2_r16
compiler-v2.1 true_site1 10/108 A_l2_r32
compiler-v2.1 true_site1 11/108 A_l2_r64
compiler-v2.1 true_site1 12/108 A_l2_r8
compiler-v2.1 true_site1 13/108 A_l3_r16
compiler-v2.1 true_site1 14/108 A_l3_r32
compiler-v2.1 true_site1 15/108 A_l3_r64
compiler-v2.1 true_site1 16/108 A_l3_r8
compiler-v2.1 true_site1 17/108 A_l4_r16
compiler-v2.1 true_site1 18/108 A_l4_r32
compiler-v2.1 true_site1 19/108 A_l4_r64
compiler-v2.1 true_site1 20/108 A_l4_r8
compiler-v2.1 true_site1 21/108 A_l5_r16
compiler-v2.1 true_site1 22/108 A_l5_r32
compiler-v2.1 true_site1 23/108 A_l5_r64
compiler-v2.1 true_site1 24/108 A_l5_r8
compiler-v2.1 true_site1 25/108 A_l6_r16
compiler-v2.1 true_site1 26/108 A_l6_r32
compiler-v2.1 true_site1 27/108 A_l6_r64
compiler-v2.1 true_site1 28/108 A_l6_r8
compiler-v2.1 true_site1 29/108 A_l7_r16
compiler-v2.1 true_site1 30/108 A_l7_r32
compiler-v2.1 true_site1 31/108 A_l7_r64
compiler-v2.1 true_site1 32/108 A_l7_r8
compiler-v2.1 true_site1 33/108 B_l0_r16
compiler-v2.1 true_site1 34/108 B_l0_r32
compiler-v2.1 true_site1 35/108 B_l0_r64
compiler-v2.1 true_site1 36/108 B_l0_r8
compiler-v2.1 true_site1 37/108 B_l1_r16
compiler-v2.1 true_site1 38/108 B_l1_r32
compiler-v2.1 true_site1 39/108 B_l1_r64
compiler-v2.1 true_site1 40/108 B_l1_r8
compiler-v2.1 true_site1 41/108 B_l2_r16
compiler-v2.1 true_site1 42/108 B_l2_r32
compiler-v2.1 true_site1 43/108 B_l2_r64
compiler-v2.1 true_site1 44/108 B_l2_r8
compiler-v2.1 true_site1 45/108 B_l3_r16
compiler-v2.1 true_site1 46/108 B_l3_r32
compiler-v2.1 true_site1 47/108 B_l3_r64
compiler-v2.1 true_site1 48/108 B_l3_r8
compiler-v2.1 true_site1 49/108 B_l4_r16
compiler-v2.1 true_site1 50/108 B_l4_r32
compiler-v2.1 true_site1 51/108 B_l4_r64
compiler-v2.1 true_site1 52/108 B_l4_r8
compiler-v2.1 true_site1 53/108 B_l5_r16
compiler-v2.1 true_site1 54/108 B_l5_r32
compiler-v2.1 true_site1 55/108 B_l5_r64
compiler-v2.1 true_site1 56/108 B_l5_r8
compiler-v2.1 true_site1 57/108 B_l6_r16
compiler-v2.1 true_site1 58/108 B_l6_r32
compiler-v2.1 true_site1 59/108 B_l6_r64
compiler-v2.1 true_site1 60/108 B_l6_r8
compiler-v2.1 true_site1 61/108 B_l7_r16
compiler-v2.1 true_site1 62/108 B_l7_r32
compiler-v2.1 true_site1 63/108 B_l7_r64
compiler-v2.1 true_site1 64/108 B_l7_r8
compiler-v2.1 true_site1 65/108 C_l0_r16
compiler-v2.1 true_site1 66/108 C_l0_r32
compiler-v2.1 true_site1 67/108 C_l0_r64
compiler-v2.1 true_site1 68/108 C_l0_r8
compiler-v2.1 true_site1 69/108 C_l1_r16
compiler-v2.1 true_site1 70/108 C_l1_r32
compiler-v2.1 true_site1 71/108 C_l1_r64
compiler-v2.1 true_site1 72/108 C_l1_r8
compiler-v2.1 true_site1 73/108 C_l2_r16
compiler-v2.1 true_site1 74/108 C_l2_r32
compiler-v2.1 true_site1 75/108 C_l2_r64
compiler-v2.1 true_site1 76/108 C_l2_r8
compiler-v2.1 true_site1 77/108 C_l3_r16
compiler-v2.1 true_site1 78/108 C_l3_r32
compiler-v2.1 true_site1 79/108 C_l3_r64
compiler-v2.1 true_site1 80/108 C_l3_r8
compiler-v2.1 true_site1 81/108 C_l4_r16
compiler-v2.1 true_site1 82/108 C_l4_r32
compiler-v2.1 true_site1 83/108 C_l4_r64
compiler-v2.1 true_site1 84/108 C_l4_r8
compiler-v2.1 true_site1 85/108 C_l5_r16
compiler-v2.1 true_site1 86/108 C_l5_r32
compiler-v2.1 true_site1 87/108 C_l5_r64
compiler-v2.1 true_site1 88/108 C_l5_r8
compiler-v2.1 true_site1 89/108 C_l6_r16
compiler-v2.1 true_site1 90/108 C_l6_r32
compiler-v2.1 true_site1 91/108 C_l6_r64
compiler-v2.1 true_site1 92/108 C_l6_r8
compiler-v2.1 true_site1 93/108 C_l7_r16
compiler-v2.1 true_site1 94/108 C_l7_r32
compiler-v2.1 true_site1 95/108 C_l7_r64
compiler-v2.1 true_site1 96/108 C_l7_r8
compiler-v2.1 true_site1 97/108 D_k128
compiler-v2.1 true_site1 98/108 D_k16
compiler-v2.1 true_site1 99/108 D_k256
compiler-v2.1 true_site1 100/108 D_k32
compiler-v2.1 true_site1 101/108 D_k64
compiler-v2.1 true_site1 102/108 D_k8
compiler-v2.1 true_site1 103/108 E_k128
compiler-v2.1 true_site1 104/108 E_k16
compiler-v2.1 true_site1 105/108 E_k256
compiler-v2.1 true_site1 106/108 E_k32
compiler-v2.1 true_site1 107/108 E_k64
compiler-v2.1 true_site1 108/108 E_k8
compiler-v2.1 shuffle_site1 1/108 A_l0_r16
compiler-v2.1 shuffle_site1 2/108 A_l0_r32
compiler-v2.1 shuffle_site1 3/108 A_l0_r64
compiler-v2.1 shuffle_site1 4/108 A_l0_r8
compiler-v2.1 shuffle_site1 5/108 A_l1_r16
compiler-v2.1 shuffle_site1 6/108 A_l1_r32
compiler-v2.1 shuffle_site1 7/108 A_l1_r64
compiler-v2.1 shuffle_site1 8/108 A_l1_r8
compiler-v2.1 shuffle_site1 9/108 A_l2_r16
compiler-v2.1 shuffle_site1 10/108 A_l2_r32
compiler-v2.1 shuffle_site1 11/108 A_l2_r64
compiler-v2.1 shuffle_site1 12/108 A_l2_r8
compiler-v2.1 shuffle_site1 13/108 A_l3_r16
compiler-v2.1 shuffle_site1 14/108 A_l3_r32
compiler-v2.1 shuffle_site1 15/108 A_l3_r64
compiler-v2.1 shuffle_site1 16/108 A_l3_r8
compiler-v2.1 shuffle_site1 17/108 A_l4_r16
compiler-v2.1 shuffle_site1 18/108 A_l4_r32
compiler-v2.1 shuffle_site1 19/108 A_l4_r64
compiler-v2.1 shuffle_site1 20/108 A_l4_r8
compiler-v2.1 shuffle_site1 21/108 A_l5_r16
compiler-v2.1 shuffle_site1 22/108 A_l5_r32
compiler-v2.1 shuffle_site1 23/108 A_l5_r64
compiler-v2.1 shuffle_site1 24/108 A_l5_r8
compiler-v2.1 shuffle_site1 25/108 A_l6_r16
compiler-v2.1 shuffle_site1 26/108 A_l6_r32
compiler-v2.1 shuffle_site1 27/108 A_l6_r64
compiler-v2.1 shuffle_site1 28/108 A_l6_r8
compiler-v2.1 shuffle_site1 29/108 A_l7_r16
compiler-v2.1 shuffle_site1 30/108 A_l7_r32
compiler-v2.1 shuffle_site1 31/108 A_l7_r64
compiler-v2.1 shuffle_site1 32/108 A_l7_r8
compiler-v2.1 shuffle_site1 33/108 B_l0_r16
compiler-v2.1 shuffle_site1 34/108 B_l0_r32
compiler-v2.1 shuffle_site1 35/108 B_l0_r64
compiler-v2.1 shuffle_site1 36/108 B_l0_r8
compiler-v2.1 shuffle_site1 37/108 B_l1_r16
compiler-v2.1 shuffle_site1 38/108 B_l1_r32
compiler-v2.1 shuffle_site1 39/108 B_l1_r64
compiler-v2.1 shuffle_site1 40/108 B_l1_r8
compiler-v2.1 shuffle_site1 41/108 B_l2_r16
compiler-v2.1 shuffle_site1 42/108 B_l2_r32
compiler-v2.1 shuffle_site1 43/108 B_l2_r64
compiler-v2.1 shuffle_site1 44/108 B_l2_r8
compiler-v2.1 shuffle_site1 45/108 B_l3_r16
compiler-v2.1 shuffle_site1 46/108 B_l3_r32
compiler-v2.1 shuffle_site1 47/108 B_l3_r64
compiler-v2.1 shuffle_site1 48/108 B_l3_r8
compiler-v2.1 shuffle_site1 49/108 B_l4_r16
compiler-v2.1 shuffle_site1 50/108 B_l4_r32
compiler-v2.1 shuffle_site1 51/108 B_l4_r64
compiler-v2.1 shuffle_site1 52/108 B_l4_r8
compiler-v2.1 shuffle_site1 53/108 B_l5_r16
compiler-v2.1 shuffle_site1 54/108 B_l5_r32
compiler-v2.1 shuffle_site1 55/108 B_l5_r64
compiler-v2.1 shuffle_site1 56/108 B_l5_r8
compiler-v2.1 shuffle_site1 57/108 B_l6_r16
compiler-v2.1 shuffle_site1 58/108 B_l6_r32
compiler-v2.1 shuffle_site1 59/108 B_l6_r64
compiler-v2.1 shuffle_site1 60/108 B_l6_r8
compiler-v2.1 shuffle_site1 61/108 B_l7_r16
compiler-v2.1 shuffle_site1 62/108 B_l7_r32
compiler-v2.1 shuffle_site1 63/108 B_l7_r64
compiler-v2.1 shuffle_site1 64/108 B_l7_r8
compiler-v2.1 shuffle_site1 65/108 C_l0_r16
compiler-v2.1 shuffle_site1 66/108 C_l0_r32
compiler-v2.1 shuffle_site1 67/108 C_l0_r64
compiler-v2.1 shuffle_site1 68/108 C_l0_r8
compiler-v2.1 shuffle_site1 69/108 C_l1_r16
compiler-v2.1 shuffle_site1 70/108 C_l1_r32
compiler-v2.1 shuffle_site1 71/108 C_l1_r64
compiler-v2.1 shuffle_site1 72/108 C_l1_r8
compiler-v2.1 shuffle_site1 73/108 C_l2_r16
compiler-v2.1 shuffle_site1 74/108 C_l2_r32
compiler-v2.1 shuffle_site1 75/108 C_l2_r64
compiler-v2.1 shuffle_site1 76/108 C_l2_r8
compiler-v2.1 shuffle_site1 77/108 C_l3_r16
compiler-v2.1 shuffle_site1 78/108 C_l3_r32
compiler-v2.1 shuffle_site1 79/108 C_l3_r64
compiler-v2.1 shuffle_site1 80/108 C_l3_r8
compiler-v2.1 shuffle_site1 81/108 C_l4_r16
compiler-v2.1 shuffle_site1 82/108 C_l4_r32
compiler-v2.1 shuffle_site1 83/108 C_l4_r64
compiler-v2.1 shuffle_site1 84/108 C_l4_r8
compiler-v2.1 shuffle_site1 85/108 C_l5_r16
compiler-v2.1 shuffle_site1 86/108 C_l5_r32
compiler-v2.1 shuffle_site1 87/108 C_l5_r64
compiler-v2.1 shuffle_site1 88/108 C_l5_r8
compiler-v2.1 shuffle_site1 89/108 C_l6_r16
compiler-v2.1 shuffle_site1 90/108 C_l6_r32
compiler-v2.1 shuffle_site1 91/108 C_l6_r64
compiler-v2.1 shuffle_site1 92/108 C_l6_r8
compiler-v2.1 shuffle_site1 93/108 C_l7_r16
compiler-v2.1 shuffle_site1 94/108 C_l7_r32
compiler-v2.1 shuffle_site1 95/108 C_l7_r64
compiler-v2.1 shuffle_site1 96/108 C_l7_r8
compiler-v2.1 shuffle_site1 97/108 D_k128
compiler-v2.1 shuffle_site1 98/108 D_k16
compiler-v2.1 shuffle_site1 99/108 D_k256
compiler-v2.1 shuffle_site1 100/108 D_k32
compiler-v2.1 shuffle_site1 101/108 D_k64
compiler-v2.1 shuffle_site1 102/108 D_k8
compiler-v2.1 shuffle_site1 103/108 E_k128
compiler-v2.1 shuffle_site1 104/108 E_k16
compiler-v2.1 shuffle_site1 105/108 E_k256
compiler-v2.1 shuffle_site1 106/108 E_k32
compiler-v2.1 shuffle_site1 107/108 E_k64
compiler-v2.1 shuffle_site1 108/108 E_k8
