[bqrunner] started 21:20:51
[bqrunner] 05:59:05 running shared_band_kit
[bqrunner] 06:00:51 shared_band_kit exit=0
[bqrunner] 06:12:51 running mdl_bill2
[bqrunner] 06:12:51 mdl_bill2 exit=0
[bqrunner] 06:13:31 running bilin18_canary2
[bqrunner] 06:13:47 bilin18_canary2 exit=0
[bqrunner] 06:15:07 running full_description_kit
[bqrunner] 06:16:57 full_description_kit exit=0
[bqrunner] 06:27:57 running full_description_kit2
[bqrunner] 06:28:28 full_description_kit2 exit=134
[bqrunner] 06:41:49 running full_description_kit2
[bqrunner] 06:45:06 full_description_kit2 exit=0
[bqrunner] 06:45:06 running bilin18_canary2
[bqrunner] 06:45:22 bilin18_canary2 exit=0
[bqrunner] 06:47:02 running comparative_refine_gate
[bqrunner] 06:48:31 comparative_refine_gate exit=0
[bqrunner] 06:58:11 running bilin12_closer_screen
[bqrunner] 06:59:54 bilin12_closer_screen exit=0
[bqrunner] 07:12:34 running bilin12_closer_heads
[bqrunner] 07:14:09 bilin12_closer_heads exit=0
[bqrunner] 07:15:29 running bilin18_canary2
[bqrunner] 07:15:45 bilin18_canary2 exit=0
[bqrunner] 07:27:25 running bilin12_closer_quotes
[bqrunner] 07:29:02 bilin12_closer_quotes exit=0
[bqrunner] 07:42:42 running sqrd12_closer_screen
[bqrunner] 07:44:19 sqrd12_closer_screen exit=0
[bqrunner] 07:45:59 running bilin18_canary2
[bqrunner] 07:46:16 bilin18_canary2 exit=0
[bqrunner] 07:57:36 running sqrd12_closer_heads
[bqrunner] 07:59:03 sqrd12_closer_heads exit=0
[bqrunner] 08:12:23 running sqrd12_closer_quotes
[bqrunner] 08:13:46 sqrd12_closer_quotes exit=0
[bqrunner] 08:16:26 running bilin18_canary2
[bqrunner] 08:16:42 bilin18_canary2 exit=0
[bqrunner] 08:27:22 running swiglu18_closer_screen
[bqrunner] 08:31:56 swiglu18_closer_screen exit=0
[bqrunner] 08:42:16 running swiglu18_closer_heads
[bqrunner] 08:46:12 swiglu18_closer_heads exit=0
[bqrunner] 08:46:52 running bilin18_canary2
[bqrunner] 08:47:08 bilin18_canary2 exit=0
[bqrunner] 08:52:29 running shared_band_kit_seed2
[bqrunner] 08:54:17 shared_band_kit_seed2 exit=0
[bqrunner] 08:57:17 running bilin12_closer_kit
[bqrunner] 08:57:48 bilin12_closer_kit exit=134
[bqrunner] 09:15:28 running bilin12_closer_kit
[bqrunner] 09:19:21 bilin12_closer_kit exit=0
[bqrunner] 09:19:21 running bilin18_canary2
[bqrunner] 09:19:37 bilin18_canary2 exit=0
[bqrunner] 09:27:57 running closer_share_spread
[bqrunner] 09:30:33 closer_share_spread exit=0
[bqrunner] 09:40:53 running mid_standin_ladder
[bqrunner] 09:41:30 mid_standin_ladder exit=134
[bqrunner] 09:42:10 running mid_standin_ladder
[bqrunner] 09:44:25 mid_standin_ladder exit=0
[bqrunner] 09:46:25 running mid_standin_ladder2
[bqrunner] 09:49:43 mid_standin_ladder2 exit=0
[bqrunner] 09:49:43 running bilin18_canary2
[bqrunner] 09:49:59 bilin18_canary2 exit=0
[bqrunner] 09:57:59 running mid_mlp_dropcost
[bqrunner] 10:06:24 mid_mlp_dropcost exit=0
[bqrunner] 10:15:44 running mlp47_anatomy
[bqrunner] 10:24:57 mlp47_anatomy exit=0
[bqrunner] 10:24:57 running bilin18_canary2
[bqrunner] 10:25:13 bilin18_canary2 exit=0
[bqrunner] 10:27:53 running closer_pipe_test
[bqrunner] 10:32:28 closer_pipe_test exit=0
[bqrunner] 10:42:28 running candidate_confirm_65_78
[bqrunner] 10:43:36 candidate_confirm_65_78 exit=0
[bqrunner] 10:55:16 running bilin18_canary2
[bqrunner] 10:55:32 bilin18_canary2 exit=0
[bqrunner] 11:12:12 running mid_owners_crosskit
[bqrunner] 11:16:20 mid_owners_crosskit exit=0
[bqrunner] 11:20:40 running question_mid_dropcost
[bqrunner] 11:29:23 question_mid_dropcost exit=0
[bqrunner] 11:29:23 running capitalized_band_heads
[bqrunner] 11:35:51 capitalized_band_heads exit=0
[bqrunner] 11:35:51 running bilin18_canary2
[bqrunner] 11:36:07 bilin18_canary2 exit=0
[bqrunner] 11:43:07 running capitalized_band_slim
[bqrunner] 11:43:58 capitalized_band_slim exit=0
[bqrunner] 11:58:19 running capitalized_committee_grain
[bqrunner] 11:59:40 capitalized_committee_grain exit=0
[bqrunner] 12:06:20 running bilin18_canary2
[bqrunner] 12:06:36 bilin18_canary2 exit=0
[bqrunner] 12:13:16 running capitalized_kit
[bqrunner] 12:14:43 capitalized_kit exit=0
[bqrunner] 12:28:04 running capitalized_kit2
[bqrunner] 12:29:31 capitalized_kit2 exit=0
[bqrunner] 12:36:51 running bilin18_canary2
[bqrunner] 12:37:07 bilin18_canary2 exit=0
[bqrunner] 12:43:27 running commons_ungated_crosskit
[bqrunner] 12:46:02 commons_ungated_crosskit exit=0
[bqrunner] 12:58:02 running unified_kit
[bqrunner] 12:59:18 unified_kit exit=0
[bqrunner] 13:07:18 running bilin18_canary2
[bqrunner] 13:07:34 bilin18_canary2 exit=0
[bqrunner] 13:12:54 running unified_kit_slim
[bqrunner] 13:20:19 unified_kit_slim exit=0
[bqrunner] 13:27:39 running unified_kit_slim2
[bqrunner] 13:48:46 unified_kit_slim2 exit=0
[bqrunner] 13:48:46 running unified_bill_mlp
[bqrunner] 13:51:28 unified_bill_mlp exit=0
[bqrunner] 13:51:28 running bilin18_canary2
[bqrunner] 13:51:44 bilin18_canary2 exit=0
[bqrunner] 13:58:04 running capitalized_mid_adds
[bqrunner] 14:01:37 capitalized_mid_adds exit=0
[bqrunner] 14:12:37 running unified_bill_final
[bqrunner] 14:15:19 unified_bill_final exit=0
[bqrunner] 14:21:59 running bilin18_canary2
[bqrunner] 14:22:15 bilin18_canary2 exit=0
[bqrunner] 14:28:15 running pool_screen_a10_a17
[bqrunner] 14:30:38 pool_screen_a10_a17 exit=0
[bqrunner] 14:42:58 running damage_cluster_mine
[bqrunner] 14:45:18 damage_cluster_mine exit=0
[bqrunner] 14:52:18 running bilin18_canary2
[bqrunner] 14:52:34 bilin18_canary2 exit=0
[bqrunner] 14:57:34 running capitalized_band_ext
[bqrunner] 15:02:06 capitalized_band_ext exit=0
[bqrunner] 15:12:46 running capitalized_committee12
[bqrunner] 15:13:35 capitalized_committee12 exit=0
[bqrunner] 15:22:35 running bilin18_canary2
[bqrunner] 15:22:52 bilin18_canary2 exit=0
[bqrunner] 15:27:32 running capitalized_removal_greedy
[bqrunner] 15:34:02 capitalized_removal_greedy exit=0
[bqrunner] 15:43:02 running damage_cluster_mine_heads
[bqrunner] 15:51:52 damage_cluster_mine_heads exit=0
[bqrunner] 15:52:52 running bilin18_canary2
[bqrunner] 15:53:08 bilin18_canary2 exit=0
[bqrunner] 15:58:09 running head_screen5
[bqrunner] 15:59:09 head_screen5 exit=0
[bqrunner] 16:13:10 running newline_pair_quote
[bqrunner] 16:13:37 newline_pair_quote exit=134
