Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
baseline CE 3.03787
h1: singles-sum +0.00010 | group(10d) +0.00002 | random +0.00003 | whole-head +0.00021
h2: singles-sum +0.00041 | group(10d) +0.00003 | random +0.00001 | whole-head +0.00012
h3: singles-sum +0.25141 | group(10d) +0.07026 | random +0.00203 | whole-head +0.08271
h5: singles-sum -0.00053 | group(10d) +0.00017 | random -0.00000 | whole-head +0.00028
h6: singles-sum +0.01566 | group(10d) +0.00285 | random -0.00003 | whole-head +0.00347
h7: singles-sum +0.01600 | group(10d) +0.00477 | random +0.00005 | whole-head +0.00655
h8: singles-sum +0.01334 | group(10d) +0.00294 | random -0.00008 | whole-head +0.00335
h0: singles-sum +0.00041 | group(10d) +0.00031 | random +0.00005 | whole-head +0.00276
h4: singles-sum +0.00057 | group(10d) +0.00108 | random -0.00000 | whole-head +0.00179
GROUP ABLATION DONE
