candidate,prefix,position,residual_norm,target_norm,relative_error,largest_error_feature
original384,0,0,0.6909056270019333,42.36299599829007,0.016309177637715257,11
original384,0,1,2.489453040948834,48.01835829925902,0.05184377661214729,0
original384,0,2,2.588252451523025,52.58935172489037,0.0492162836511638,2
original384,0,3,2.3887615943629563,59.69560147258585,0.040015705268669634,1
original384,0,4,4.4618398290868475,156.91273936382282,0.028435166240654845,2
original384,0,5,6.237168219193201,125.89394628469496,0.04954303525515475,0
original384,0,6,2.866114389962279,46.10905010558437,0.062159475924991076,3
original384,0,7,5.14014544571956,82.42148851080603,0.06236414239286217,2
original384,0,8,12.623174006325662,244.29528017789968,0.051671788325723146,0
original384,0,9,4.6481644109915425,68.48928351886623,0.06786703221550197,0
original384,0,10,2.3031795360513914,35.71597845439881,0.06448597058574297,0
original384,0,11,5.082322741552581,144.83540444348284,0.035090334169887216,2
original384,0,12,4.831846401136928,117.51502537748904,0.041116839192399196,0
original384,0,13,3.013086288188786,183.3974549561333,0.016429269909495114,1
original384,0,14,6.222881182396627,192.62016451076025,0.03230648877391547,0
original384,0,15,3.381963307992566,37.08627154936188,0.09119178517288178,3
original384,0,16,6.739075049542255,40.04241148170505,0.1682984315922448,3
original384,0,17,9.086482659781655,190.02033106706963,0.047818476100720445,0
original384,0,18,5.866579156183448,190.41323635419243,0.03080972346518431,6
original384,0,19,3.655830718688089,17.38024129734885,0.21034407153171933,0
original384,0,20,9.554998900691631,54.547758231838245,0.17516758177450825,0
original384,0,21,4.570129979558731,53.997502636782706,0.08463595085683817,0
original384,0,22,5.812300222970399,51.67843342393767,0.11247051889692378,0
original384,0,23,3.8137741968684833,49.73385609108488,0.07668366172700868,0
original384,0,24,14.90568686895381,70.1803311590278,0.2123912301749859,0
original384,0,25,2.7237577169746663,145.93634876458387,0.018664011673804968,4
original384,0,26,5.348936526954517,92.71023141528666,0.05769521276453798,0
original384,0,27,2.079318547982007,49.458888533283535,0.04204135211374033,0
original384,0,28,16.650043739633354,182.84323852223363,0.091061850983397,0
original384,0,29,22.075867976856657,69.69284064084854,0.31675948022582817,0
original384,0,30,9.296306636237743,12.820656161919446,0.7251038105093324,0
original384,0,31,4.941623363034193,33.49291561332069,0.14754234656921975,0
original384,0,32,3.5294150734403327,67.31295048735478,0.052432927807901666,0
original384,0,33,2.5263146347473375,139.04290812996453,0.018169316714707742,7
original384,0,34,6.416856257169023,80.60839360747156,0.0796053111840483,2
original384,0,35,5.210112854507831,29.813960034696006,0.1747541369360045,2
original384,0,36,5.047174864882506,102.40500723720517,0.04928640699366893,3
original384,0,37,6.606662378752166,144.61789174574568,0.04568357551752595,0
original384,0,38,3.237402373718097,45.51538280280071,0.07112765342970792,1
original384,0,39,3.1480324618109603,135.73919228397082,0.02319177246336617,0
original384,0,40,8.018672538747216,127.87824916497178,0.06270552334824803,0
original384,0,41,6.294717182934856,64.67383044255072,0.09733020512100958,2
original384,0,42,21.444824792683452,61.642177754412195,0.34789206958458707,0
original384,0,43,6.299263628347716,67.90998253290755,0.0927590229506427,0
original384,0,44,5.067663914388789,110.66172903355664,0.04579418701159178,2
original384,0,45,2.1257331489852827,52.87956160160212,0.04019952292722635,0
original384,0,46,3.1764281250058293,45.2447529658587,0.07020544741182994,0
original384,0,47,4.6264104966997275,63.697040135660245,0.07263148314029227,0
original384,0,48,6.402201413402613,140.4230335057465,0.0455922454711863,0
original384,0,49,3.9485753567256583,19.802911814138497,0.19939367471739844,0
original384,0,50,5.6893269736227845,83.69528280526889,0.06797667422738696,0
original384,0,51,5.7677110711982,86.38075160961682,0.06677079052593098,2
original384,0,52,3.3684957940879534,38.80713068018448,0.0868009495947599,0
original384,0,53,5.457316818108781,43.17582285487494,0.12639751734326474,0
original384,0,54,5.961595967551583,67.0839998844202,0.08886762831409704,0
original384,0,55,6.955587919713516,90.5594193525764,0.07680689617314371,0
original384,0,56,5.844682405055275,77.78246519240203,0.07514138810846274,5
original384,0,57,5.372409865454672,54.9926047550603,0.09769331511725336,2
original384,0,58,8.082954354880568,71.30714961622097,0.11335405213058546,0
original384,0,59,7.800482074871479,38.93766876403537,0.20033253973531062,0
original384,0,60,2.2902523586990458,42.08160298754421,0.054424075988192294,6
original384,0,61,5.78789149717594,66.92200541726385,0.08648711976110088,1
original384,0,62,17.875169119682585,103.4530211923646,0.17278537556138449,0
original384,0,63,3.801834166147899,49.39988116495848,0.07696039092589373,0
original384,1,0,1.7193870632987793,38.73868791611882,0.0443842359096359,0
original384,1,1,1.3583680754525003,23.12140325781232,0.05874937867335241,2
original384,1,2,3.5709749358606646,59.365595504899325,0.06015226336887262,3
original384,1,3,1.488177168444539,197.45663780190154,0.007536729000407439,0
original384,1,4,2.016424073430306,82.09956470529578,0.024560715768329012,2
original384,1,5,3.7282010523542666,44.59773266520516,0.0835962016352231,0
original384,1,6,5.03602986611425,57.566366854139396,0.08748215566347013,0
original384,1,7,2.5572385805450044,76.57186772823532,0.033396580969149346,0
original384,1,8,4.536055480007761,114.7370892109186,0.03953434335142695,0
original384,1,9,5.434692938074128,50.471621655401904,0.10767819142368414,0
original384,1,10,5.075646969009919,65.35815855229971,0.07765896532945275,0
original384,1,11,6.7635505653526,87.03165022146229,0.07771368861950737,0
original384,1,12,4.936016373508426,75.40480707012836,0.06546023476882326,0
original384,1,13,4.895350740338563,148.92281330614819,0.032871731547771274,0
original384,1,14,3.3758023820888026,55.598088440031134,0.06071795769975059,0
original384,1,15,2.2029065396662255,51.68036055678156,0.0426256031485283,2
original384,1,16,6.342199575124366,301.268090802201,0.02105168044261404,2
original384,1,17,5.827001631387147,50.80458303006951,0.11469440912325454,0
original384,1,18,2.277897397307686,38.075828084232526,0.05982528842888068,0
original384,1,19,8.377915062315484,77.23531484896442,0.1084725954532419,0
original384,1,20,7.0321583618221,180.34059307117718,0.03899376309052413,2
original384,1,21,3.344252399470484,96.39630256504782,0.03469274557718432,0
original384,1,22,4.364627013142459,61.77713210208418,0.07065117567986309,3
original384,1,23,14.58883046653381,132.1089095649862,0.11043032990411115,0
original384,1,24,3.6361435208175266,43.69529416207665,0.0832159066678936,2
original384,1,25,2.731347508206342,82.92075316108469,0.03293925108109345,1
original384,1,26,8.534517709618713,150.06356632781444,0.05687268347984631,0
original384,1,27,5.429110775250856,71.68665906740412,0.07573390705997442,0
original384,1,28,5.475941810847259,73.84804161253311,0.07415148311689163,0
original384,1,29,7.912046914250298,61.07733409642533,0.12954145807607156,0
original384,1,30,6.75077867624049,68.47112397216527,0.09859307522080113,0
original384,1,31,11.809839372964046,118.86868978228455,0.09935197733393467,0
original384,1,32,3.0632913905700327,78.76346997749901,0.03889228587116778,2
original384,1,33,7.001797025362485,68.58129335675406,0.10209485243942153,0
original384,1,34,8.162707708366648,114.27711490749923,0.07142906709688893,0
original384,1,35,4.8637113160134495,101.0341206313746,0.04813929478100588,0
original384,1,36,5.35833354554973,136.36157688822937,0.039295039466592276,0
original384,1,37,2.987540755631949,82.28276499139534,0.036308220268781305,0
original384,1,38,3.503531876998211,69.30061518365308,0.05055556675382355,0
original384,1,39,11.933418252799834,351.5816019798883,0.033942101024622064,2
original384,1,40,5.212225587971109,63.9932214930976,0.08144965148431084,0
original384,1,41,5.183329591814861,62.83636910784962,0.08248932370548684,0
original384,1,42,8.37319829801831,169.70270108205807,0.049340394965013155,2
original384,1,43,1.9406450517048346,83.01017604311801,0.02337839942294309,1
original384,1,44,9.424245512046767,131.14364449426873,0.07186200710213317,1
original384,1,45,6.444037162124685,164.6558683904311,0.0391363953506025,3
original384,1,46,3.509636073645035,87.29242863771097,0.04020550382681009,1
original384,1,47,8.118018062125117,39.463797945665455,0.20570797755710604,0
