usage: tf_train.py [-h] [--variant VARIANT] [--depth DEPTH] [--width WIDTH]
                   [--seed SEED] [--vocab VOCAB] [--tok {bpe,trunc}]
                   [--no-sweep] [--slot SLOT] [--suffix SUFFIX]
                   [--n-slots N_SLOTS] [--group-coeff GROUP_COEFF] [--lr LR]
                   [--no-qk-norm]
                   {baselines,cell}
tf_train.py: error: the following arguments are required: cmd
  tf_predicate_d2_w128_b8192_s2_slot32 step 0/15000 ce 9.0379 (ema 9.0379) 1s
  tf_predicate_d2_w128_b8192_s2_slot32 step 200/15000 ce 5.9540 (ema 6.4829) 10s
  tf_predicate_d2_w128_b8192_s2_slot32 step 400/15000 ce 5.3458 (ema 5.4486) 19s
  tf_predicate_d2_w128_b8192_s2_slot32 step 600/15000 ce 5.0268 (ema 5.1209) 28s
  tf_predicate_d2_w128_b8192_s2_slot32 step 800/15000 ce 4.8149 (ema 4.9634) 37s
  tf_predicate_d2_w128_b8192_s2_slot32 step 1000/15000 ce 4.9655 (ema 4.9027) 46s
  tf_predicate_d2_w128_b8192_s2_slot32 step 1200/15000 ce 4.8790 (ema 4.8705) 55s
  tf_predicate_d2_w128_b8192_s2_slot32 step 1400/15000 ce 4.9658 (ema 4.8376) 64s
  tf_predicate_d2_w128_b8192_s2_slot32 step 1600/15000 ce 4.7304 (ema 4.8132) 73s
  tf_predicate_d2_w128_b8192_s2_slot32 step 1800/15000 ce 4.8918 (ema 4.7946) 82s
  held100 CE 4.7115 at step 1875
  tf_predicate_d2_w128_b8192_s2_slot32 step 2000/15000 ce 4.7894 (ema 4.7723) 90s
  tf_predicate_d2_w128_b8192_s2_slot32 step 2200/15000 ce 4.7597 (ema 4.7580) 99s
  tf_predicate_d2_w128_b8192_s2_slot32 step 2400/15000 ce 4.6759 (ema 4.7320) 108s
  tf_predicate_d2_w128_b8192_s2_slot32 step 2600/15000 ce 4.6885 (ema 4.7302) 117s
  tf_predicate_d2_w128_b8192_s2_slot32 step 2800/15000 ce 4.7398 (ema 4.7159) 127s
  tf_predicate_d2_w128_b8192_s2_slot32 step 3000/15000 ce 4.8222 (ema 4.7353) 136s
  tf_predicate_d2_w128_b8192_s2_slot32 step 3200/15000 ce 4.7342 (ema 4.7153) 145s
  tf_predicate_d2_w128_b8192_s2_slot32 step 3400/15000 ce 4.6409 (ema 4.7085) 154s
  tf_predicate_d2_w128_b8192_s2_slot32 step 3600/15000 ce 4.6171 (ema 4.7080) 163s
  held100 CE 4.6309 at step 3750
  tf_predicate_d2_w128_b8192_s2_slot32 step 3800/15000 ce 4.6922 (ema 4.6755) 173s
  tf_predicate_d2_w128_b8192_s2_slot32 step 4000/15000 ce 4.7013 (ema 4.6926) 182s
