usage: tf_train.py [-h] [--variant VARIANT] [--depth DEPTH] [--width WIDTH]
                   [--seed SEED] [--vocab VOCAB] [--tok {bpe,trunc}]
                   [--no-sweep] [--slot SLOT] [--suffix SUFFIX]
                   [--n-slots N_SLOTS] [--group-coeff GROUP_COEFF] [--lr LR]
                   [--no-qk-norm]
                   {baselines,cell}
tf_train.py: error: the following arguments are required: cmd
  tf_predicate_d3_w128_b8192_s0_slot32 step 0/15000 ce 9.0499 (ema 9.0499) 0s
  tf_predicate_d3_w128_b8192_s0_slot32 step 200/15000 ce 5.7577 (ema 6.3016) 13s
  tf_predicate_d3_w128_b8192_s0_slot32 step 400/15000 ce 5.1873 (ema 5.2712) 26s
  tf_predicate_d3_w128_b8192_s0_slot32 step 600/15000 ce 4.8994 (ema 4.9917) 38s
  tf_predicate_d3_w128_b8192_s0_slot32 step 800/15000 ce 4.6763 (ema 4.8432) 51s
  tf_predicate_d3_w128_b8192_s0_slot32 step 1000/15000 ce 4.8398 (ema 4.7815) 64s
  tf_predicate_d3_w128_b8192_s0_slot32 step 1200/15000 ce 4.7461 (ema 4.7474) 76s
  tf_predicate_d3_w128_b8192_s0_slot32 step 1400/15000 ce 4.8527 (ema 4.7121) 89s
  tf_predicate_d3_w128_b8192_s0_slot32 step 1600/15000 ce 4.6025 (ema 4.6889) 101s
  tf_predicate_d3_w128_b8192_s0_slot32 step 1800/15000 ce 4.7488 (ema 4.6640) 114s
  held100 CE 4.5744 at step 1875
  tf_predicate_d3_w128_b8192_s0_slot32 step 2000/15000 ce 4.6523 (ema 4.6378) 127s
  tf_predicate_d3_w128_b8192_s0_slot32 step 2200/15000 ce 4.6400 (ema 4.6190) 139s
  tf_predicate_d3_w128_b8192_s0_slot32 step 2400/15000 ce 4.5335 (ema 4.5907) 152s
  tf_predicate_d3_w128_b8192_s0_slot32 step 2600/15000 ce 4.5413 (ema 4.5869) 165s
  tf_predicate_d3_w128_b8192_s0_slot32 step 2800/15000 ce 4.5846 (ema 4.5689) 177s
  tf_predicate_d3_w128_b8192_s0_slot32 step 3000/15000 ce 4.6579 (ema 4.5844) 190s
